sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
URI347	6524	6063	92.93	5981	5039	77.24	5039	77.24
URI349	26897	23889	88.82	23755	12311	45.77	12244	45.52
URI353	12103	10957	90.53	10825	9560	78.99	9560	78.99
URI499	3718	3184	85.64	3144	2976	80.04	2976	80.04
URI5	13910	12782	91.89	12389	11495	82.64	11494	82.63
URI501	19938	17949	90.02	17736	11622	58.29	11622	58.29
URI509	13078	12744	97.45	12170	11204	85.67	11176	85.46
URI57	3618	3271	90.41	3230	3200	88.45	3200	88.45
URI63	25728	22655	88.06	22583	9993	38.84	9993	38.84
URI709	14246	12857	90.25	12513	7655	53.73	7479	52.5
URI713	3977	2818	70.86	2744	2582	64.92	2582	64.92
URI715	10014	9382	93.69	9152	7760	77.49	7760	77.49
