sample-id,absolute-filepath,direction
URI63,/data/putnamlab/estrand/16S_E5/raw_files/URI63_S18_L001_R1_001.fastq.gz,forward
URI499,/data/putnamlab/estrand/16S_E5/raw_files/URI499_S22_L001_R2_001.fastq.gz,reverse
URI57,/data/putnamlab/estrand/16S_E5/raw_files/URI57_S17_L001_R1_001.fastq.gz,forward
URI509,/data/putnamlab/estrand/16S_E5/raw_files/URI509_S24_L001_R1_001.fastq.gz,forward
URI353,/data/putnamlab/estrand/16S_E5/raw_files/URI353_S21_L001_R2_001.fastq.gz,reverse
URI5,/data/putnamlab/estrand/16S_E5/raw_files/URI5_S16_L001_R2_001.fastq.gz,reverse
URI353,/data/putnamlab/estrand/16S_E5/raw_files/URI353_S21_L001_R1_001.fastq.gz,forward
URI709,/data/putnamlab/estrand/16S_E5/raw_files/URI709_S25_L001_R1_001.fastq.gz,forward
URI349,/data/putnamlab/estrand/16S_E5/raw_files/URI349_S20_L001_R2_001.fastq.gz,reverse
URI499,/data/putnamlab/estrand/16S_E5/raw_files/URI499_S22_L001_R1_001.fastq.gz,forward
URI63,/data/putnamlab/estrand/16S_E5/raw_files/URI63_S18_L001_R2_001.fastq.gz,reverse
URI5,/data/putnamlab/estrand/16S_E5/raw_files/URI5_S16_L001_R1_001.fastq.gz,forward
URI349,/data/putnamlab/estrand/16S_E5/raw_files/URI349_S20_L001_R1_001.fastq.gz,forward
URI501,/data/putnamlab/estrand/16S_E5/raw_files/URI501_S23_L001_R1_001.fastq.gz,forward
URI57,/data/putnamlab/estrand/16S_E5/raw_files/URI57_S17_L001_R2_001.fastq.gz,reverse
URI713,/data/putnamlab/estrand/16S_E5/raw_files/URI713_S26_L001_R1_001.fastq.gz,forward
URI709,/data/putnamlab/estrand/16S_E5/raw_files/URI709_S25_L001_R2_001.fastq.gz,reverse
URI347,/data/putnamlab/estrand/16S_E5/raw_files/URI347_S19_L001_R1_001.fastq.gz,forward
URI715,/data/putnamlab/estrand/16S_E5/raw_files/URI715_S27_L001_R2_001.fastq.gz,reverse
URI715,/data/putnamlab/estrand/16S_E5/raw_files/URI715_S27_L001_R1_001.fastq.gz,forward
URI347,/data/putnamlab/estrand/16S_E5/raw_files/URI347_S19_L001_R2_001.fastq.gz,reverse
URI509,/data/putnamlab/estrand/16S_E5/raw_files/URI509_S24_L001_R2_001.fastq.gz,reverse
URI713,/data/putnamlab/estrand/16S_E5/raw_files/URI713_S26_L001_R2_001.fastq.gz,reverse
URI501,/data/putnamlab/estrand/16S_E5/raw_files/URI501_S23_L001_R2_001.fastq.gz,reverse
